gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
DCAF17,1.0,0.0,+,+,0.01613008990009254,0.0,,
LMO3,1.0,0.0,+,+,0.069933989374674,0.0,,
C14orf43,1.0,0.0,+,+,0.1161165235168155,0.0,,
DBX1,0.0,1.0,-,-,0.0,0.11611652351681558,,
BAHD1,0.0,1.0,-,-,0.0,0.373900966300059,,
DBIL5P,1.0,0.0,+,+,0.373900966300059,0.0,,
PGGT1B,1.0,0.0,+,+,0.11611652351681558,0.0,,
GLP1R,0.0,1.0,-,-,0.0,0.373900966300059,,
ULK4,0.0,1.0,+,+,0.0,0.11611652351681558,,
TSGA13,1.0,0.0,-,-,0.11611652351681558,0.0,,
BBOX1,0.0,1.0,-,-,0.0,0.373900966300059,,
BAHCC1,1.0,0.0,+,-,0.373900966300059,0.0,,
PHC3,1.0,0.0,+,+,0.373900966300059,0.0,,
GIN1,1.0,0.0,+,+,0.11611652351681558,0.0,,
SLC16A7,1.0,0.0,-,-,0.373900966300059,0.0,,
PDSS2,1.0,0.0,+,+,0.007490433881274529,0.0,,
POU4F2,0.0,1.0,-,0,0.0,1.0,,
C16orf52,1.0,0.0,+,+,0.373900966300059,0.0,,
ATP8A2,0.0,1.0,-,0,0.0,1.0,,
POU3F1,1.0,0.0,-,-,0.025721420742506516,0.0,,
LIG4,0.0,1.0,+,+,0.0,0.01613008990009254,,
LOC139201,1.0,0.0,+,+,0.11611652351681558,0.0,,
LIPE,0.0,1.0,-,-,0.0,0.373900966300059,,
ATR,1.0,0.0,+,+,0.11611652351681558,0.0,,
POPDC3,0.0,1.0,-,0,0.0,1.0,,
CPEB3,0.0,1.0,-,-,0.0,0.373900966300059,,
MTBP,0.0,1.0,+,+,0.0,0.11611652351681545,,
USP32,1.0,0.0,+,+,0.11611652351681558,0.0,,
USP28,0.0,1.0,+,+,0.0,0.11611652351681545,,
SLC16A14,1.0,0.0,+,+,0.1161165235168155,0.0,,
TRIM9,0.0,1.0,+,+,0.0,0.373900966300059,,
USP51,0.0,1.0,+,+,0.0,0.11611652351681558,,
MTR,1.0,0.0,+,+,0.11611652351681558,0.0,,
LOC100128881,0.0,1.0,+,+,0.0,0.373900966300059,,
PHF7,0.0,1.0,+,0,0.0,1.0,,
BMP6,0.0,1.0,+,+,0.0,0.11611652351681558,,
MORN3,1.0,0.0,-,-,0.1161165235168155,0.0,,
